Año;SM Instalados;SM Acumulados;Avance %;CAPEX IT y PM;CAPEX Hardware (Medidor+Comms);CAPEX Instalacion y Logistica;CAPEX Infraestructura (Nodos);CAPEX TOTAL;OPEX Mantenimiento IT;OPEX Licencias SaaS;OPEX Soporte/Admin;OPEX Telecomunicaciones;OPEX Cloud;OPEX TOTAL;BENEFICIO Lecturas Evitadas;BENEFICIO Cortes y Reposiciones;BENEFICIO Visitas Improductivas;BENEFICIO Multas SAIDI;BENEFICIO Multas por Estimacion;BENEFICIO Multas Apartamiento y Calidad;BENEFICIO Resarcimiento Artefactos;BENEFICIO Call Center/Comercial;BENEFICIO Recupero Fraude;BENEFICIOS TOTALES;INGRESOS VAD (Tarifa);FLUJO DE CAJA NETO
0;0;0;0.0%;7000000;0;0;0;7000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;199900;-6800100
1;100000;100000;3.7%;4500000;7580000;4000000;212800;16292800;500000;200000;500000;31200;60000;1291200;300000;254283;92593;162037;89630;57037;5556;2707;1014347;1980507;3201950;-12401543
2;288889;388889;14.4%;3000000;21897778;11555556;614756;37068089;500000;200000;500000;121333;60000;1381333;1166667;988880;360082;630144;348560;221811;21605;10526;3944681;7701972;9789114;-20958336
3;288889;677778;25.1%;1500000;21897778;11555556;614756;35568089;500000;200000;500000;211467;60000;1471467;2033333;1723476;627572;1098251;607490;386584;37654;18345;6875016;13423437;15872144;-7743975
4;288889;966667;35.8%;0;21897778;11555556;614756;34068089;500000;200000;500000;301600;60000;1561600;2900000;2458072;895062;1566358;866420;551358;53704;26164;9805351;19144901;19841319;3356532
5;288889;1255556;46.5%;0;21897778;11555556;614756;34068089;500000;200000;500000;391733;60000;1651733;3766667;3192669;1162551;2034465;1125350;716132;69753;33984;12735686;24866366;23682587;12829131
6;288889;1544444;57.2%;0;21897778;11555556;614756;34068089;500000;200000;500000;481867;60000;1741867;4633333;3927265;1430041;2502572;1384280;880905;85802;41803;15666021;30587831;27395947;22173822
7;288889;1833333;67.9%;0;21897778;11555556;614756;34068089;500000;200000;500000;572000;60000;1832000;5500000;4661861;1697531;2970679;1643210;1045679;101852;49622;18596356;36309296;30981400;31390606
8;288889;2122222;78.6%;0;21897778;11555556;614756;34068089;500000;200000;500000;662133;60000;1922133;6366667;5396457;1965021;3438786;1902140;1210453;117901;57441;21526690;42030760;34438945;40479483
9;288889;2411111;89.3%;0;21897778;11555556;614756;34068089;500000;200000;500000;752267;60000;2012267;7233333;6131054;2232510;3906893;2161070;1375226;133951;65261;24457025;47752225;37768582;49440452
10;288889;2700000;100.0%;0;21897778;11555556;614756;34068089;500000;200000;500000;842400;60000;2102400;8100000;6865650;2500000;4375000;2420000;1540000;150000;73080;27387360;53473690;40870312;58173513
